# description : ELT lateral focus (6 mirrors), with spider emission
# author : Oliver Czoske
# source : ESO-333023_1, ESO-253082_4-0
# date_created  : 2021-02-04
# date_modified : 2021-12-01
# type : TERCurve
# status : design
# action : reflection
# outer : 37.3
# outer_unit : m
# inner : 11.1
# inner_unit : m
# wavelength_unit : um
# changes :
#  - 2021-02-05 (OC) Added inner and outer diameters
#  - 2021-12-01 (OC) Reflection reduced by 12 per cent
#  - 2026-06-03 (AZ) converted to csv format
#
# notes :
#  - derived from ESO-333023_1 (R. Holzloehner)
#  - emissivity is calculated from ESO-253082_4, sect 4.12.2
#  - script convert_ELT_throughput_budget.R
#  - see ESO-306070 and ESO-293390 for background
#  - includes M1, M2, M3, M4, M5, M6
#  - includes spider emission (field-tracking)
#  - central obscuration assumed to be masked
#  - reflection includes dust contamination as in ESO-253082_4, sect 4.11
#  - from AstarVienne IRDB
#
# wavelength (um),reflection,emissivity
1.2100,0.7823,0.2840
1.2150,0.7792,0.2875
1.2200,0.7793,0.2874
1.2250,0.7816,0.2848
1.2300,0.7805,0.2861
1.2350,0.7833,0.2829
1.2400,0.7813,0.2852
1.2450,0.7828,0.2834
1.2500,0.7855,0.2804
1.2550,0.7855,0.2804
1.2600,0.7855,0.2804
1.2650,0.7860,0.2798
1.2700,0.7858,0.2801
1.2750,0.7884,0.2771
1.2800,0.7860,0.2798
1.2850,0.7887,0.2768
1.2900,0.7891,0.2763
1.2950,0.7902,0.2750
1.3000,0.7880,0.2775
1.3050,0.7913,0.2738
1.3100,0.7873,0.2783
1.3150,0.7896,0.2757
1.3200,0.7901,0.2752
1.3250,0.7902,0.2751
1.3300,0.7903,0.2749
1.3350,0.7921,0.2729
1.3400,0.7924,0.2725
1.3450,0.7914,0.2737
1.3500,0.7945,0.2702
1.3550,0.7952,0.2694
1.3600,0.7939,0.2708
1.3650,0.7954,0.2691
1.3700,0.7982,0.2660
1.3750,0.7964,0.2680
1.3800,0.7970,0.2673
1.3850,0.7971,0.2672
1.3900,0.7980,0.2662
1.3950,0.7973,0.2670
1.4000,0.7958,0.2687
1.4050,0.7984,0.2657
1.4100,0.8010,0.2628
1.4150,0.7978,0.2664
1.4200,0.7990,0.2650
1.4250,0.7963,0.2681
1.4300,0.7984,0.2657
1.4350,0.7985,0.2656
1.4400,0.7984,0.2657
1.4450,0.7967,0.2677
1.4500,0.7993,0.2647
1.4550,0.7985,0.2656
1.4600,0.7993,0.2647
1.4650,0.7998,0.2641
1.4700,0.8016,0.2621
1.4750,0.7981,0.2661
1.4800,0.8008,0.2630
1.4850,0.8004,0.2634
1.4900,0.8018,0.2619
1.4950,0.8004,0.2635
1.5000,0.8010,0.2628
1.5050,0.7987,0.2654
1.5100,0.8007,0.2631
1.5150,0.8027,0.2608
1.5200,0.8040,0.2594
1.5250,0.8008,0.2630
1.5300,0.8036,0.2598
1.5350,0.8021,0.2615
1.5400,0.8045,0.2588
1.5450,0.8007,0.2631
1.5500,0.8045,0.2588
1.5550,0.8044,0.2589
1.5600,0.8037,0.2597
1.5650,0.8031,0.2604
1.5700,0.8048,0.2585
1.5750,0.8029,0.2606
1.5800,0.8029,0.2606
1.5850,0.8061,0.2570
1.5900,0.8040,0.2594
1.5950,0.8034,0.2600
1.6000,0.8039,0.2595
1.6050,0.8012,0.2625
1.6100,0.8045,0.2588
1.6150,0.8056,0.2575
1.6200,0.8042,0.2591
1.6250,0.8043,0.2590
1.6300,0.8033,0.2602
1.6350,0.8032,0.2603
1.6400,0.8024,0.2612
1.6450,0.8029,0.2606
1.6500,0.8005,0.2633
1.6550,0.8034,0.2600
1.6600,0.8019,0.2617
1.6650,0.8010,0.2628
1.6700,0.7995,0.2645
1.6750,0.8039,0.2595
1.6800,0.8001,0.2638
1.6850,0.7986,0.2655
1.6900,0.8008,0.2630
1.6950,0.8014,0.2623
1.7000,0.7976,0.2666
1.7050,0.8004,0.2635
1.7100,0.7975,0.2667
1.7150,0.7989,0.2652
1.7200,0.7999,0.2640
1.7250,0.7986,0.2655
1.7300,0.8000,0.2639
1.7350,0.8006,0.2632
1.7400,0.7981,0.2661
1.7450,0.7994,0.2646
1.7500,0.8005,0.2633
1.7550,0.8004,0.2634
1.7600,0.8005,0.2633
1.7650,0.8005,0.2633
1.7700,0.8007,0.2631
1.7750,0.8033,0.2602
1.7800,0.8034,0.2601
1.7850,0.8021,0.2615
1.7900,0.8025,0.2611
1.7950,0.8045,0.2588
1.8000,0.8000,0.2639
1.8050,0.8025,0.2611
1.8100,0.8035,0.2599
1.8150,0.8048,0.2585
1.8200,0.8051,0.2581
1.8250,0.8070,0.2559
1.8300,0.8055,0.2577
1.8350,0.8041,0.2593
1.8400,0.8045,0.2588
1.8450,0.8053,0.2579
1.8500,0.8098,0.2528
1.8550,0.8079,0.2549
1.8600,0.8048,0.2584
1.8650,0.8065,0.2565
1.8700,0.8067,0.2563
1.8750,0.8052,0.2580
1.8800,0.8078,0.2550
1.8850,0.8082,0.2546
1.8900,0.8078,0.2550
1.8950,0.8081,0.2547
1.9000,0.8081,0.2547
1.9050,0.8047,0.2586
1.9100,0.8094,0.2532
1.9150,0.8107,0.2517
1.9200,0.8078,0.2551
1.9250,0.8087,0.2540
1.9300,0.8092,0.2535
1.9350,0.8116,0.2507
1.9400,0.8093,0.2533
1.9450,0.8138,0.2482
1.9500,0.8106,0.2519
1.9550,0.8116,0.2507
1.9600,0.8126,0.2496
1.9650,0.8114,0.2509
1.9700,0.8136,0.2485
1.9750,0.8106,0.2519
1.9800,0.8122,0.2501
1.9850,0.8123,0.2499
1.9900,0.8123,0.2499
1.9950,0.8124,0.2498
2.0000,0.8144,0.2476
2.0050,0.8135,0.2486
2.0100,0.8150,0.2469
2.0150,0.8149,0.2470
2.0200,0.8161,0.2456
2.0250,0.8161,0.2456
2.0300,0.8166,0.2451
2.0350,0.8173,0.2442
2.0400,0.8166,0.2451
2.0450,0.8166,0.2450
2.0500,0.8201,0.2411
2.0550,0.8172,0.2444
2.0600,0.8187,0.2427
2.0650,0.8197,0.2415
2.0700,0.8195,0.2417
2.0750,0.8187,0.2427
2.0800,0.8225,0.2383
2.0850,0.8179,0.2436
2.0900,0.8221,0.2388
2.0950,0.8222,0.2387
2.1000,0.8215,0.2395
2.1050,0.8212,0.2398
2.1100,0.8231,0.2377
2.1150,0.8230,0.2378
2.1200,0.8235,0.2372
2.1250,0.8242,0.2364
2.1300,0.8246,0.2359
2.1350,0.8242,0.2364
2.1400,0.8248,0.2357
2.1450,0.8258,0.2346
2.1500,0.8239,0.2367
2.1550,0.8267,0.2336
2.1600,0.8260,0.2344
2.1650,0.8274,0.2328
2.1700,0.8255,0.2349
2.1750,0.8282,0.2319
2.1800,0.8258,0.2346
2.1850,0.8284,0.2316
2.1900,0.8257,0.2347
2.1950,0.8276,0.2326
2.2000,0.8269,0.2333
2.2050,0.8282,0.2319
2.2100,0.8290,0.2310
2.2150,0.8320,0.2276
2.2200,0.8292,0.2307
2.2250,0.8314,0.2282
2.2300,0.8304,0.2294
2.2350,0.8301,0.2297
2.2400,0.8274,0.2328
2.2450,0.8312,0.2284
2.2500,0.8342,0.2250
2.2550,0.8388,0.2198
2.2600,0.8395,0.2190
2.2650,0.8512,0.2057
2.2700,0.8475,0.2099
2.2750,0.8416,0.2166
2.2800,0.8364,0.2226
2.2850,0.8290,0.2310
2.2900,0.8312,0.2284
2.2950,0.8321,0.2274
2.3000,0.8343,0.2249
2.3050,0.8322,0.2273
2.3100,0.8330,0.2264
2.3150,0.8312,0.2284
2.3200,0.8334,0.2260
2.3250,0.8351,0.2240
2.3300,0.8338,0.2255
2.3350,0.8370,0.2219
2.3400,0.8342,0.2251
2.3450,0.8342,0.2250
2.3500,0.8370,0.2219
2.3550,0.8347,0.2245
2.3600,0.8371,0.2218
2.3650,0.8365,0.2224
2.3700,0.8376,0.2212
2.3750,0.8396,0.2189
2.3800,0.8361,0.2229
2.3850,0.8385,0.2202
2.3900,0.8356,0.2234
2.3950,0.8364,0.2226
2.4000,0.8339,0.2254
2.4050,0.8340,0.2253
2.4100,0.8393,0.2193
2.4150,0.8386,0.2200
2.4200,0.8356,0.2234
2.4250,0.8338,0.2255
2.4300,0.8381,0.2206
2.4350,0.8372,0.2216
2.4400,0.8370,0.2219
2.4450,0.8394,0.2191
2.4500,0.8405,0.2179
2.4550,0.8393,0.2192
2.4600,0.8375,0.2213
2.4650,0.8398,0.2187
2.4700,0.8408,0.2176
2.4750,0.8402,0.2182
2.4800,0.8420,0.2162
2.4850,0.8395,0.2190
2.4900,0.8434,0.2146
2.4950,0.8398,0.2187
2.5000,0.8387,0.2199
24.0000,0.8493,0.2079
