# H4RG QE from Zandian et al. 2016, Fig. 5
# Plot digitized by Aiden Zelakiewicz
# Wavelength (nm), QE (%)
400, 62.096069868995635
410.61946902654864, 64.06113537117905
426.5486725663717, 62.48908296943232
442.4778761061947, 61.310043668122276
469.0265486725664, 58.5589519650655
484.95575221238937, 57.772925764192145
500.88495575221236, 58.5589519650655
511.50442477876106, 59.34497816593887
532.7433628318583, 62.096069868995635
559.29203539823, 65.24017467248909
575.2212389380531, 66.8122270742358
596.4601769911504, 68.38427947598254
617.6991150442477, 69.17030567685589
638.9380530973451, 69.56331877729258
676.1061946902654, 69.17030567685589
713.2743362831858, 68.38427947598254
739.8230088495575, 67.59825327510917
755.7522123893805, 67.59825327510917
782.3008849557522, 67.59825327510917
808.8495575221237, 67.99126637554585
835.3982300884956, 68.38427947598254
856.6371681415928, 68.77729257641921
877.8761061946902, 69.17030567685589
904.4247787610618, 69.95633187772927
930.9734513274335, 70.74235807860262
962.8318584070795, 71.92139737991266
989.3805309734512, 72.70742358078603
1026.5486725663716, 73.88646288209608
1063.716814159292, 75.4585152838428
1116.8141592920354, 77.4235807860262
1175.221238938053, 79.38864628820961
1233.6283185840707, 81.35371179039302
1281.41592920354, 82.92576419213974
1323.8938053097345, 84.1048034934498
1361.0619469026549, 84.89082969432314
1387.6106194690265, 85.28384279475983
1424.7787610619469, 85.67685589519651
1461.9469026548672, 86.06986899563319
1504.424778761062, 86.46288209606988
1562.8318584070796, 86.85589519650655
1637.1681415929204, 86.46288209606988
1674.3362831858408, 86.06986899563319
1700.8849557522124, 85.67685589519651
1732.7433628318583, 84.89082969432314
1748.6725663716813, 83.7117903930131
1753.9823008849557, 82.92576419213974
1759.29203539823, 81.35371179039302
1764.6017699115046, 77.03056768558952
1769.9115044247787, 72.31441048034935
1775.221238938053, 67.2052401746725
1775.221238938053, 64.45414847161572
1780.5309734513273, 57.772925764192145
1785.8407079646017, 51.87772925764193
1785.8407079646017, 45.19650655021835
1791.1504424778761, 38.51528384279476
1796.4601769911503, 23.97379912663756
1801.769911504425, 14.541484716157214
1807.0796460176991, 11.004366812227076
1812.3893805309733, 7.467248908296952
1817.6991150442477, 4.7161572052401795
1823.0088495575221, 3.1441048034934482
1828.3185840707965, 2.358078602620097
1833.6283185840707, 1.5720524017467312
1844.2477876106195, 0.3930131004367041
1865.4867256637167, 0
1886.725663716814, 0
