# HOEE starshade contrast curve from Soliman et al. 2024, Fig. 14
# Includes perturbations, earthshine, and atmosphere at Strehl Ratio of 0.5
# Curve digitized by Aiden Zelakiewicz
# seperation (mas), contrast
3.11614905606379,9.483454288255033e-9
3.654175425092024,8.576662105797588e-9
4.241113282213735,7.795803520361728e-9
5.121520067896299,7.103346606743681e-9
6.226919698808853,6.9361231500647695e-9
7.273625544009235,7.070188901268233e-9
8.349678282065707,7.394422240080254e-9
9.425731020122175,7.827566758256114e-9
10.501783758178643,8.234552360678377e-9
11.577836496235111,8.592058586799459e-9
12.65388923429158,8.895447799399823e-9
13.729941972348048,9.120215296936104e-9
14.805994710404516,9.234719919665527e-9
15.882047448460984,9.063496510037527e-9
16.958100186517452,8.679603229440872e-9
18.04812763545777,7.989224724256554e-9
18.96347119834996,7.2821219670994754e-9
19.648232031658626,6.5581007085319765e-9
20.186258400686857,5.956518344104694e-9
20.675373281621614,5.410893352877738e-9
21.164488162556378,4.877448391363447e-9
21.653603043491135,4.362782971631109e-9
22.093806436332418,3.935199156512903e-9
22.48509834108022,3.5617214263219562e-9
22.87639024582803,3.230609825928277e-9
23.267682150575833,2.9523559681994705e-9
23.707885543417117,2.687097381202573e-9
24.245911912445354,2.4350304186034286e-9
24.930672745754013,2.210239796635029e-9
25.859991019530053,2.029541454745095e-9
26.93604375758652,1.9269778119764123e-9
28.01209649564299,1.846798358074974e-9
29.088149233699465,1.7493724097124149e-9
29.67508709082117,1.6707099022113332e-9
31.642415834136532,1.4059855464675618e-9
32.76194545049832,1.2654421230554588e-9
33.783652090673144,1.1785513962070078e-9
34.859704828729605,1.098673603276404e-9
35.93575756678608,1.019826275416636e-9
36.913987328655594,9.23947860964867e-10
37.74548262624468,8.398031189406469e-10
38.62588941192725,7.647597127611985e-10
39.64324836427154,6.997904450817002e-10
40.7290833999467,6.623311842741759e-10
41.80513613800318,6.394922491127612e-10
42.88118887605964,6.083601169270092e-10
43.957241614116114,5.647005901548159e-10
44.93547137598563,5.134090272609609e-10
45.766966673574714,4.674035598032927e-10
46.549550483070334,4.2213748637567277e-10
47.28322280447247,3.816057979895816e-10
47.91907214968765,3.479198026131334e-10
48.50601000680936,3.181806765730968e-10
49.09294786393107,2.8973822620819476e-10
49.679885721052784,2.644046699186676e-10
50.36464655436144,2.390116549217054e-10
51.09831887576358,2.157156368607905e-10
51.783079709072254,1.9581177558582274e-10
52.46784054238091,1.7709219491355638e-10
53.10368988759609,1.6134412702741627e-10
53.73953923281128,1.4663664894339765e-10
54.47321155421342,1.3231384515708263e-10
55.30470685180251,1.193859641211698e-10
56.28293661367202,1.0844347379435108e-10
57.358989351728496,1.0054325259264451e-10
58.43504208978496,9.509077652347182e-11
59.51109482784143,9.109862609783552e-11
60.587147565897894,8.7580869460046e-11
61.66320030395437,8.416612737925395e-11
62.73925304201083,8.09476234140385e-11
63.815305780067305,7.818681403341174e-11
64.89135851812378,7.58743389105014e-11
65.96741125618024,7.380271149045029e-11
67.04346399423672,7.181564216947207e-11
68.11951673229318,6.982759971845075e-11
69.19556947034965,6.784166753780583e-11
70.27162220840611,6.601509377749295e-11
71.34767494646259,6.443838306263245e-11
72.42372768451905,6.346593311198879e-11
73.49978042257553,6.258131756559052e-11
74.57583316063199,6.197426599015949e-11
75.65188589868846,6.158884688858712e-11
76.72793863674492,6.113427369201088e-11
77.9996373271753,6.094387962729312e-11
79.07569006523177,6.094387962729312e-11
80.15174280328823,6.075407851801083e-11
81.2277955413447,6.068305559626026e-11
82.30384827940118,6.063575311410732e-11
83.37990101745764,6.042334782457256e-11
84.45595375551412,6.018821448475533e-11
85.53200649357058,6.014129773157756e-11
86.60805923162705,5.990726197047368e-11
87.68411196968351,5.965087439470992e-11
88.76016470773999,5.939558409141103e-11
89.83621744579645,5.918752307809631e-11
90.91227018385293,5.914138636453462e-11
91.98832292190939,5.893421579850559e-11
93.06437565996586,5.868199260850961e-11
94.14042839802232,5.863624995628507e-11
95.2164811360788,5.852204926180152e-11
96.24362238604179,5.838530198297292e-11
97.36858661219173,5.788662341706209e-11
98.4446393502482,5.788662341706209e-11
99.47178060021119,5.7861801598968455e-11
400,5.7861801598968455e-11
